username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Cotswolds Gunner,1293883413330616320,Cotswolds,2023-01-14 18:28:42,@FRANXICAN Agree. Shame FFP is a load of shit. Don’t mind spending but the way some teams are being bankrolled is still ruining football,0,Twitter for iPhone,
Hongkonger Gonner,258842647,Hong Kong,2023-01-14 16:58:29,"@MiguelDelaney If you follow Mudryk, you know how much he appreciates Arsenal football lately as he watched everything single AFC game.",0,Twitter for Android,
gordonlee99,2407312226,Hong Kong,2023-01-14 14:55:03,@lewis_attacker @now_arsenaI Quit watching football ffs🤦‍♂️,0,Twitter for iPhone,
Ric Fung :),1289493901317771264,香港,2023-01-14 14:32:16,"@Football__Tweet Ok Manchester United  u win 
Referees and VAR are RED",0,Twitter for iPhone,
Radhi MD,929717989510918144,Hong Kong,2023-01-14 14:29:11,@Football__Tweet Empty-had fans 😂,0,Twitter for iPhone,
Sam Lam,1500881796195840001,香港,2023-01-14 10:46:10,"@AdelaideUnited The viewing value of Australian football is zero, there is no gorgeous attack and no goals.",0,Twitter for iPhone,
Oreo,296097775,Hong Kong,2023-01-14 10:34:55,"@Chuparos Same goes for a lot of the Instagram football meme accounts. A lot of them aren't even good content, just… https://t.co/okUHiL8wmt",1,Twitter for Android,
Tyler Queef (2nd place🥈12-1),1485428703815512066,Hong Kong,2023-01-14 05:14:34,respectfully our football w &gt; skutts basketball w,0,Twitter for iPhone,
Nessa Xtra,1931086627,Victoria,2023-01-13 22:01:20,"""German football star who also plays for Borussia Dortmund..."" Fixed it for you. Leave Cameroon out of his age frau… https://t.co/rq2TPzly44",0,Twitter for Android,
olcay demir,288713989,hong kong ,2023-01-13 21:58:29,"@Glorious_GS @Galatasaray @GalatasaraySK İ Said to myself 
What a wonderfull football",0,Twitter for iPhone,
Joanne Geddes,2845629044,Victoria,2023-01-13 20:43:12,@KatSpeaksNB You think dead kids is...funny? A chance for political sneering? A football in your game with JT? Gross...,0,Twitter Web App,
Liberaiders ©,1217427604971708417,Hong Kong,2023-01-13 19:29:11,@Football__Tweet Where’s Rodri?,0,Twitter for iPhone,
clem fandango x,555203764,United Kingdom / Hong Kong,2023-01-13 18:38:38,I wish the uk’s view on immigrants were independent of football merits,0,Twitter for iPhone,
Olly Arthey,24168139,Hong Kong,2023-01-13 18:05:18,@maxrushden @guardian_sport @bglendenning @_JordanJBryan I did wonder if you forgot covid happened when you said it… https://t.co/5eWpIspCMd,0,Twitter for Android,
X-VPN,880248410535800836,Hong Kong,2023-01-13 18:01:30,"The #NFC and #AFC leagues are about to kick off! Looking forward to #NFL and #SuperBowl2023 #football fans, cheer o… https://t.co/TMSWyLI5QW",0,Twitter Web App,
gordonlee99,2407312226,Hong Kong,2023-01-13 17:25:18,@EmmaKuzi @FabrizioRomano Is he tht good😂maybe watch more football except the big teams,0,Twitter for iPhone,
Laughing Bro,1527221916364591109,Hong Kong,2023-01-13 17:05:47,@Football__Tweet Guilty incoming.,0,Twitter for Android,
Liberaiders ©,1217427604971708417,Hong Kong,2023-01-13 16:38:22,@Football__Tweet Arsenal,0,Twitter for iPhone,
Mo,2573368783,Hong Kong,2023-01-13 16:05:18,@FIFAWWC lost all passions to football for some years but its Beth Mead to revive it ❤️,0,Twitter for iPhone,
IJ,1416609128,Hong Kong,2023-01-13 15:59:43,@allandelmare @Chilearmy123 @ryancarson Insane. You guys can make up a football team!,0,Twitter for iPhone,
Unilumin Group,2708432515,"Shenzhen, China",2023-01-13 14:16:29,"Mrsool Park in Riyadh, where the famous football star showed up recently, has been upgraded with the help of Unilum… https://t.co/9T9N81ZrSK",0,Twitter Web App,
The Spartan Group,956841052563910656,"Singapore, Hong Kong",2023-01-13 13:00:34,"5/ What is something that really excites you outside of crypto?

""Football - lifelong manchester united fan"" https://t.co/UBQLzMjZnD",0,Typefully,
The Spartan Group,956841052563910656,"Singapore, Hong Kong",2023-01-13 13:00:23,"Founder Fridays #2: Leo from Tribe3

@leodchief3 is the founder at @Tribe3Official, and we spoke to him about his j… https://t.co/FaGqRg8lA3",2,Typefully,
South China Morning Post,23922797,Hong Kong,2023-01-13 09:47:01,"Netflix adds Fifa World Cup, Six Nations to sports slate, announces Drive to Survive season 5 premiere https://t.co/bJMF9PSqAt",0,Echobox,
allan callahan,1603208447637405696,Victoria,2023-01-13 09:10:50,@adrianbarich Congratulations on the work you are doing at the Perth Football Club. You and all concerned are on th… https://t.co/5vYsPOPfcb,0,Twitter Web App,
South China Morning Post,23922797,Hong Kong,2023-01-13 05:19:49,Chinese Super League: could border reopening spark resurgence in football on mainland? frustrated fans certainly ho… https://t.co/B4PYfdGFBU,3,Echobox,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-13 03:40:51,@RMadridEngineer Man this is like a routine job for Messi every game. Please don't try to build comparisons where t… https://t.co/hdo8tbL2X0,0,Twitter for Android,
Anti-Fragile,2507237268,Hong Kong,2023-01-13 02:37:29,"@SkySportsNews How should Arsenal respond?

2 games in building up to the NLD, we are given charges for things that… https://t.co/Nk4zhjuWuz",0,Twitter for iPhone,
dani v.o.,1598811967501713408,香港 Hong Kong,2023-01-13 02:11:54,Harry Maguire 🤡🥶💙 #shorts #edits #sports #football #lol  #harrymaguire #... https://t.co/kdRAJkPFrG via @YouTube HARRYYYY MAGUIRE!,0,Twitter Web App,
Don🇭🇰,1154407005395673094,,2023-01-12 23:53:03,@Football__Tweet It’s weird for a ref to say that ngl,0,Twitter for iPhone,
